Id,Reputation,DisplayName,Year,Month,Count
"22656","734451","Jon Skeet","2012","1","491"
"22656","734451","Jon Skeet","2012","2","541"
"22656","734451","Jon Skeet","2012","3","768"
"22656","734451","Jon Skeet","2012","4","419"
"22656","734451","Jon Skeet","2012","5","446"
"22656","734451","Jon Skeet","2012","6","442"
"22656","734451","Jon Skeet","2012","7","437"
"22656","734451","Jon Skeet","2012","8","535"
"22656","734451","Jon Skeet","2012","9","415"
"22656","734451","Jon Skeet","2012","10","461"
"22656","734451","Jon Skeet","2012","11","510"
"22656","734451","Jon Skeet","2012","12","321"
"29407","557478","Darin Dimitrov","2012","1","658"
"29407","557478","Darin Dimitrov","2012","2","574"
"29407","557478","Darin Dimitrov","2012","3","546"
"29407","557478","Darin Dimitrov","2012","4","251"
"29407","557478","Darin Dimitrov","2012","5","464"
"29407","557478","Darin Dimitrov","2012","6","448"
"29407","557478","Darin Dimitrov","2012","7","521"
"29407","557478","Darin Dimitrov","2012","8","396"
"29407","557478","Darin Dimitrov","2012","9","355"
"29407","557478","Darin Dimitrov","2012","10","332"
"29407","557478","Darin Dimitrov","2012","11","63"
"29407","557478","Darin Dimitrov","2012","12","219"
"157882","527981","BalusC","2012","1","302"
"157882","527981","BalusC","2012","2","342"
"157882","527981","BalusC","2012","3","327"
"157882","527981","BalusC","2012","4","302"
"157882","527981","BalusC","2012","5","403"
"157882","527981","BalusC","2012","6","346"
"157882","527981","BalusC","2012","7","184"
"157882","527981","BalusC","2012","8","229"
"157882","527981","BalusC","2012","9","217"
"157882","527981","BalusC","2012","10","334"
"157882","527981","BalusC","2012","11","272"
"157882","527981","BalusC","2012","12","262"
"23354","510129","Marc Gravell","2012","1","145"
"23354","510129","Marc Gravell","2012","2","163"
"23354","510129","Marc Gravell","2012","3","123"
"23354","510129","Marc Gravell","2012","4","87"
"23354","510129","Marc Gravell","2012","5","123"
"23354","510129","Marc Gravell","2012","6","130"
"23354","510129","Marc Gravell","2012","7","170"
"23354","510129","Marc Gravell","2012","8","201"
"23354","510129","Marc Gravell","2012","9","128"
"23354","510129","Marc Gravell","2012","10","182"
"23354","510129","Marc Gravell","2012","11","168"
"23354","510129","Marc Gravell","2012","12","100"
"17034","507413","Hans Passant","2012","1","212"
"17034","507413","Hans Passant","2012","2","146"
"17034","507413","Hans Passant","2012","3","138"
"17034","507413","Hans Passant","2012","4","272"
"17034","507413","Hans Passant","2012","5","244"
"17034","507413","Hans Passant","2012","6","183"
"17034","507413","Hans Passant","2012","7","191"
"17034","507413","Hans Passant","2012","8","189"
"17034","507413","Hans Passant","2012","9","137"
"17034","507413","Hans Passant","2012","10","217"
"17034","507413","Hans Passant","2012","11","182"
"17034","507413","Hans Passant","2012","12","210"
"6309","451615","VonC","2012","1","124"
"6309","451615","VonC","2012","2","127"
"6309","451615","VonC","2012","3","121"
"6309","451615","VonC","2012","4","127"
"6309","451615","VonC","2012","5","137"
"6309","451615","VonC","2012","6","112"
"6309","451615","VonC","2012","7","125"
"6309","451615","VonC","2012","8","174"
"6309","451615","VonC","2012","9","154"
"6309","451615","VonC","2012","10","217"
"6309","451615","VonC","2012","11","222"
"6309","451615","VonC","2012","12","159"
"115145","428362","CommonsWare","2012","1","256"
"115145","428362","CommonsWare","2012","2","122"
"115145","428362","CommonsWare","2012","3","366"
"115145","428362","CommonsWare","2012","4","313"
"115145","428362","CommonsWare","2012","5","247"
"115145","428362","CommonsWare","2012","6","267"
"115145","428362","CommonsWare","2012","7","213"
"115145","428362","CommonsWare","2012","8","212"
"115145","428362","CommonsWare","2012","9","222"
"115145","428362","CommonsWare","2012","10","243"
"115145","428362","CommonsWare","2012","11","238"
"115145","428362","CommonsWare","2012","12","256"
"34397","419304","SLaks","2012","1","241"
"34397","419304","SLaks","2012","2","205"
"34397","419304","SLaks","2012","3","191"
"34397","419304","SLaks","2012","4","183"
"34397","419304","SLaks","2012","5","223"
"34397","419304","SLaks","2012","6","145"
"34397","419304","SLaks","2012","7","128"
"34397","419304","SLaks","2012","8","163"
"34397","419304","SLaks","2012","9","153"
"34397","419304","SLaks","2012","10","167"
"34397","419304","SLaks","2012","11","162"
"34397","419304","SLaks","2012","12","184"
"893","384915","Greg Hewgill","2012","1","135"
"893","384915","Greg Hewgill","2012","2","137"
"893","384915","Greg Hewgill","2012","3","99"
"893","384915","Greg Hewgill","2012","4","74"
"893","384915","Greg Hewgill","2012","5","102"
"893","384915","Greg Hewgill","2012","6","37"
"893","384915","Greg Hewgill","2012","7","92"
"893","384915","Greg Hewgill","2012","8","100"
"893","384915","Greg Hewgill","2012","9","54"
"893","384915","Greg Hewgill","2012","10","93"
"893","384915","Greg Hewgill","2012","11","62"
"893","384915","Greg Hewgill","2012","12","40"
"14860","369688","paxdiablo","2012","1","135"
"14860","369688","paxdiablo","2012","2","164"
"14860","369688","paxdiablo","2012","3","159"
"14860","369688","paxdiablo","2012","4","133"
"14860","369688","paxdiablo","2012","5","96"
"14860","369688","paxdiablo","2012","6","38"
"14860","369688","paxdiablo","2012","7","31"
"14860","369688","paxdiablo","2012","8","138"
"14860","369688","paxdiablo","2012","9","118"
"14860","369688","paxdiablo","2012","10","119"
"14860","369688","paxdiablo","2012","11","78"
"14860","369688","paxdiablo","2012","12","71"
"23283","352648","JaredPar","2012","1","222"
"23283","352648","JaredPar","2012","2","148"
"23283","352648","JaredPar","2012","3","190"
"23283","352648","JaredPar","2012","4","104"
"23283","352648","JaredPar","2012","5","66"
"23283","352648","JaredPar","2012","6","15"
"23283","352648","JaredPar","2012","7","27"
"23283","352648","JaredPar","2012","10","15"
"23283","352648","JaredPar","2012","11","6"
"19068","352431","Quentin","2012","1","205"
"19068","352431","Quentin","2012","2","191"
"19068","352431","Quentin","2012","3","183"
"19068","352431","Quentin","2012","4","184"
"19068","352431","Quentin","2012","5","227"
"19068","352431","Quentin","2012","6","169"
"19068","352431","Quentin","2012","7","201"
"19068","352431","Quentin","2012","8","202"
"19068","352431","Quentin","2012","9","153"
"19068","352431","Quentin","2012","10","263"
"19068","352431","Quentin","2012","11","192"
"19068","352431","Quentin","2012","12","107"
"13302","344138","marc_s","2012","1","104"
"13302","344138","marc_s","2012","2","89"
"13302","344138","marc_s","2012","3","80"
"13302","344138","marc_s","2012","4","94"
"13302","344138","marc_s","2012","5","74"
"13302","344138","marc_s","2012","6","102"
"13302","344138","marc_s","2012","7","71"
